Company,HQ City,HQ State/Country,Annual Revenue,Industry,Score,Tier,Location Score,Financial Score,Partnership Score,Recency Score,Why Now,Target Persona,Known Partnerships,Triggering Article,Article Source,Article Date,Website,Stock Ticker
Target Corporation,Minneapolis,MN,$109.0B,Retail,100,Tier 1,25,25,30,20,"""Target Names New Chief Brand Officer, Eyes Expanded LTO Design Partnerships"" (Retail Dive) | Key signals: new leadership appointment in brand/marketing; growth mode / strategic expansion signal; active partnership or LTO program; proven collaboration track record (Missoni, Lilly Pulitzer).",VP of Brand Collaboration,Missoni; Lilly Pulitzer; Alexander McQueen,"Target Names New Chief Brand Officer, Eyes Expanded LTO Design Partnerships",Retail Dive,2026-05-26,https://www.target.com,TGT
REI Co-op,Seattle,WA,$3.7B,Outdoor Retail,100,Tier 1,25,25,30,20,"""REI Appoints New Head of Creative Partnerships, Signals Brand Collaboration Push"" (Outdoor Retailer News) | Key signals: new leadership appointment in brand/marketing; growth mode / strategic expansion signal; active partnership or LTO program; proven collaboration track record (Patagonia, Arc'teryx).",VP of Brand Collaboration,Patagonia; Arc'teryx; various brand activations,"REI Appoints New Head of Creative Partnerships, Signals Brand Collaboration Push",Outdoor Retailer News,2026-05-24,https://www.rei.com,
Nordstrom,Seattle,WA,$14.8B,Fashion Retail,100,Tier 1,25,25,30,20,"""Nordstrom Hires VP of Brand Collaboration from LVMH's North America Division"" (WWD) | Key signals: new leadership appointment in brand/marketing; active partnership or LTO program; proven collaboration track record (Opening Ceremony, Madewell).",VP of Brand Collaboration,Opening Ceremony; Madewell; various designer LTOs,Nordstrom Hires VP of Brand Collaboration from LVMH's North America Division,WWD,2026-05-27,https://www.nordstrom.com,JWN
General Mills,Minneapolis,MN,$19.9B,Food & Beverage,95,Tier 1,25,25,30,15,"""General Mills Launches 'Taste the Art' Initiative — Designer Packaging LTO Program"" (Ad Age) | Key signals: growth mode / strategic expansion signal; active partnership or LTO program; proven collaboration track record (various limited-edition artist packaging campaigns).",VP of Brand Collaboration / Creative Director of LTOs,various limited-edition artist packaging campaigns,General Mills Launches 'Taste the Art' Initiative — Designer Packaging LTO Program,Ad Age,2026-05-23,https://www.generalmills.com,GIS
Starbucks,Seattle,WA,$36.2B,Food & Beverage / Hospitality,90,Tier 1,25,25,30,10,"""Starbucks Q2 Earnings: CEO Signals 'Cultural Partnership Renaissance' in Strategy Refresh"" (Bloomberg) | Key signals: active partnership or LTO program; proven collaboration track record (Stanley, Spotify).",VP of Brand Collaboration / Creative Director of LTOs,Stanley; Spotify; various artist cup designs,Starbucks Q2 Earnings: CEO Signals 'Cultural Partnership Renaissance' in Strategy Refresh,Bloomberg,2026-05-25,https://www.starbucks.com,SBUX
Tractor Supply Co.,Brentwood,TN,$14.6B,Farm & Ranch Retail,85,Tier 1,15,25,30,15,"""Tractor Supply Co. Sees 22% YoY Growth, Eyes 'Rural Lifestyle Brand' Collaborations"" (CNBC) | Key signals: growth mode / strategic expansion signal; active partnership or LTO program; proven collaboration track record (various country music brand activations).",Head of Global Partnerships / Design Partnership Team,various country music brand activations,"Tractor Supply Co. Sees 22% YoY Growth, Eyes 'Rural Lifestyle Brand' Collaborations",CNBC,2026-05-24,https://www.tractorsupply.com,TSCO
H-E-B Grocery,San Antonio,TX,$38.0B,Grocery Retail,85,Tier 1,15,25,30,15,"""H-E-B Announces Record Revenue and Expands Into Brand Lifestyle Strategy"" (Austin American-Statesman) | Key signals: growth mode / strategic expansion signal; active partnership or LTO program; proven collaboration track record (various Texas artist collaborations).",Head of Global Partnerships / Design Partnership Team,various Texas artist collaborations,H-E-B Announces Record Revenue and Expands Into Brand Lifestyle Strategy,Austin American-Statesman,2026-05-25,https://www.heb.com,
Lululemon,Vancouver,BC,$9.6B,Activewear / Lifestyle Retail,80,Tier 1,15,25,30,10,"""Lululemon Names New VP of Cultural Marketing, Plans Global Collab Campaign"" (Retail Brew) | Key signals: active partnership or LTO program; proven collaboration track record (various local artist programs, Team Canada).",Head of Global Partnerships / Design Partnership Team,various local artist programs; Team Canada,"Lululemon Names New VP of Cultural Marketing, Plans Global Collab Campaign",Retail Brew,2026-05-26,https://www.lululemon.com,LULU
Kroger,Cincinnati,OH,$148.3B,Grocery Retail,80,Tier 1,25,25,30,0,"""Kroger Investor Day: 'Premium Private Label' Expansion to Include Designer Collaborations"" (Grocery Dive) | Key signals: growth mode / strategic expansion signal; active partnership or LTO program; proven collaboration track record (various exclusive private-label lines).",Head of Global Partnerships / Design Partnership Team,various exclusive private-label lines,Kroger Investor Day: 'Premium Private Label' Expansion to Include Designer Collaborations,Grocery Dive,2026-05-21,https://www.kroger.com,KR
3M,St. Paul,MN,$33.5B,Industrial / Consumer Products,75,Tier 2,15,25,15,20,"""3M's Consumer Division Hires CMO with Luxury Brand Background"" (Marketing Week) | Key signals: new leadership appointment in brand/marketing; active partnership or LTO program.",VP of Brand Collaboration,,3M's Consumer Division Hires CMO with Luxury Brand Background,Marketing Week,2026-05-23,https://www.3m.com,MMM
